158,a,0.30,0.03,-0.79
159,a,0.10,0.01,-0.97
160,a,0.04,0.25,-1.36
161,a,0.12,0.16,-0.85
162,a,0.07,0.14,-0.84
163,a,0.04,0.07,-0.69
164,a,0.01,0.00,-0.84
165,a,-0.11,-0.10,-0.95
166,a,-0.02,-0.03,-1.04
167,a,0.08,0.09,-0.73
168,a,0.23,0.00,-0.83
169,a,0.27,0.00,-0.96
170,a,0.29,0.12,-1.16
171,a,0.21,0.34,-1.62
172,a,0.34,0.36,-0.80
173,a,0.22,-0.13,-0.72
174,a,0.16,-0.09,-0.79
175,a,0.28,-0.19,-0.62
176,a,0.47,0.15,-1.47
177,a,0.10,-0.03,-0.86
178,a,0.17,-0.09,-0.77
179,a,0.33,0.00,-0.67
180,a,0.15,-0.35,-0.58
181,a,0.06,-0.17,-0.79
182,a,0.11,0.14,-1.36
183,a,0.14,0.10,-1.12
184,a,0.08,-0.07,-0.76
185,a,0.04,-0.09,-0.78
186,a,0.01,-0.08,-0.91
187,a,-0.07,-0.01,-1.30
188,a,-0.14,0.05,-0.99
189,a,0.12,0.03,-0.78
190,a,0.26,0.10,-0.97
191,a,0.07,0.06,-1.11
192,a,0.21,0.19,-1.15
193,a,0.06,0.17,-0.95
194,a,0.03,0.12,-0.74
195,a,0.00,0.00,-0.66
196,t,28.437,,
197,a,-0.01,-0.07,-0.82
198,a,-0.07,-0.17,-0.86
199,b,1005.09,,
200,a,-0.10,0.06,-1.19
201,a,-0.05,0.00,-0.94
202,a,0.09,0.03,-0.99
203,a,0.08,-0.01,-0.99
204,a,0.08,0.09,-1.18
205,a,-0.01,0.21,-1.35
206,a,0.00,0.11,-0.95
207,a,-0.05,-0.10,-0.60
208,a,-0.07,-0.06,-0.63
209,a,-0.05,-0.04,-1.06
210,a,-0.15,0.00,-1.05
211,a,0.04,0.02,-1.01
212,a,0.05,-0.05,-0.85
213,a,0.09,0.01,-0.92
214,a,0.06,0.00,-0.89
215,a,-0.04,-0.06,-1.02
216,a,0.05,0.13,-1.09
217,a,-0.07,0.00,-0.90
218,a,-0.05,-0.04,-0.79
219,a,-0.01,-0.04,-0.72
220,a,-0.05,-0.17,-0.77
221,a,-0.25,-0.15,-1.13
222,l,40.80,,
223,a,-0.12,-0.11,-0.92
224,a,0.06,-0.06,-0.83
225,a,0.17,0.06,-0.88
226,a,0.07,0.07,-1.29
227,a,0.17,0.40,-1.42
228,a,0.10,0.20,-0.96
229,a,0.02,0.06,-0.76
230,h,73.15,,
231,a,0.07,0.05,-0.70
232,a,-0.02,-0.03,-0.83
233,a,-0.07,-0.02,-0.85
234,a,-0.06,-0.08,-0.88
235,a,0.09,0.04,-0.82
236,a,0.09,0.00,-0.84
237,a,0.08,0.03,-1.02
238,a,0.03,-0.05,-0.91
239,a,0.15,0.04,-0.67
240,a,0.04,0.20,-1.05
241,a,0.14,-0.02,-0.83
242,a,0.01,-0.11,-0.97
243,a,0.09,-0.07,-0.92
244,a,0.03,0.15,-1.45
245,a,-0.21,-0.17,-1.00
246,a,0.13,-0.06,-0.70
247,a,0.12,-0.17,-0.99
248,a,0.24,-0.04,-1.11
249,a,0.28,0.25,-1.45
250,a,0.17,0.14,-1.17
251,a,0.03,-0.05,-0.73
252,a,0.04,-0.09,-0.72
253,a,0.04,-0.05,-1.11
254,a,-0.07,-0.27,-0.83
255,a,0.05,-0.08,-0.96
256,a,0.06,-0.17,-0.68
257,a,0.13,-0.10,-1.02
258,a,0.21,-0.18,-1.02
259,a,0.10,-0.31,-0.74
260,a,0.10,0.01,-1.10
261,a,-0.10,-0.01,-1.08
262,a,0.07,0.04,-0.81
263,a,-0.04,-0.17,-0.95
264,a,-0.04,-0.18,-1.04
265,a,-0.09,0.21,-1.42
266,a,-0.38,-0.27,-1.02
267,a,-0.01,-0.08,-0.70
268,a,-0.09,-0.21,-0.98
269,a,-0.01,-0.15,-1.02
270,a,-0.05,-0.13,-0.97
271,a,-0.08,-0.02,-0.88
272,a,-0.22,-0.17,-0.66
273,a,-0.15,0.05,-0.62
274,a,-0.20,0.08,-1.06
275,a,-0.17,0.21,-1.18
276,a,-0.29,0.13,-0.91
277,a,-0.03,0.25,-0.82
278,a,-0.12,0.00,-0.70
279,a,0.15,0.29,-1.08
280,a,0.07,0.12,-0.74
281,a,0.10,0.09,-0.47
282,a,0.16,0.12,-1.02
283,a,0.23,0.23,-0.86
284,a,0.24,0.23,-0.86
285,a,0.18,0.12,-0.90
286,a,0.23,0.15,-1.03
287,a,0.22,-0.04,-0.95
288,a,0.23,-0.03,-0.84
289,a,0.27,-0.04,-1.02
290,a,0.19,-0.03,-0.97
291,a,0.16,-0.01,-0.89
292,a,0.20,-0.03,-0.90
293,a,0.23,0.00,-0.95
294,a,0.24,-0.01,-0.92
295,a,0.24,0.00,-0.92
296,a,0.22,0.00,-0.92
297,a,0.22,0.00,-0.95
298,a,0.24,0.00,-0.95
299,a,0.23,0.00,-0.96
300,a,0.24,0.00,-0.95
301,a,0.23,-0.01,-0.93
302,a,0.24,0.00,-0.95
303,a,0.23,0.00,-0.95
304,a,0.25,0.00,-0.95
305,a,0.24,-0.02,-0.94
306,a,0.25,-0.01,-0.94
307,a,0.23,-0.01,-0.96
308,a,0.24,-0.01,-0.94
309,a,0.27,0.00,-0.96
310,a,0.26,-0.02,-0.94
311,a,0.26,-0.02,-0.94
312,a,0.26,-0.01,-0.91
313,a,0.25,-0.01,-0.96
314,a,0.25,-0.03,-0.92
315,a,0.24,-0.02,-0.91
316,a,0.24,-0.02,-0.94
317,a,0.26,0.00,-0.93
318,a,0.26,0.00,-0.92
319,a,0.26,0.00,-0.94
320,a,0.28,0.00,-0.93
321,a,0.26,0.01,-0.93
322,a,0.27,-0.01,-0.92
323,a,0.25,0.00,-0.96
324,a,0.25,0.00,-0.93
325,a,0.25,-0.02,-0.95
326,a,0.27,-0.02,-0.93
327,a,0.24,-0.01,-0.97
328,a,0.28,-0.02,-0.92
329,a,0.30,-0.02,-0.92
330,a,0.26,-0.01,-0.93
331,a,0.29,-0.02,-0.93
332,a,0.28,-0.01,-0.94
333,a,0.29,0.00,-0.92
334,a,0.31,-0.01,-0.94
335,a,0.29,0.01,-0.96
