name,time,nodeid,value
test,1518087420549259776,58243," "
test,1518087420560929024,58243,"28417:27398,30,153,-1258621635,#"
test,1518087420561875200,58243," "
test,1518087420563045120,58243,"28417:48007,30,156,1434871971,#"
test,1518087420563960064,58243," "
test,1518087420564943104,58243,"28417:43654,28,0,-2087605192,#"
test,1518087420565899008,58243," "
test,1518087420566827008,58243,"47235:43654,27,7,-2087642344,#"
test,1518087420567399936,58243," "
test,1518087420568238080,58243,"47235:43654,30,156,-2086813632,#"
test,1518087420569008128,58243," "
test,1518087420569978880,58243,"47235:108,30,153,198912645,#"
test,1518087420570846208,58243," "
test,1518087420571668992,58243,"47235:43654,28,3,-2087604931,#"
test,1518087420572508928,58243," "
test,1518087420573359104,58243,"46599:28417,28,0,8973149,#"
test,1518087420574596864,58243," "
test,1518087420575313152,58243,"46599:28417,30,153,9737826,#"
test,1518087420576391936,58243," "
test,1518087420577231872,58243,"47235:46599,28,0,1627536923,#"
test,1518087420578121984,58243," "
test,1518087420578896128,58243,"47235:46599,28,0,1627536923,#"
test,1518087420579659008,58243," "
test,1518087420580454144,58243,"47235:43654,28,0,-2087605192,#"
test,1518087420581562112,58243," "
test,1518087420582621952,58243,"43654:58243,28,3,-933619756,#"
test,1518087420583287040,58243," "
test,1518087420583683840,58243,"27398:48007,28,7,1434081832,#"
test,1518087420584083200,58243," "
test,1518087420584873984,58243,"27398:48007,28,3,1434080672,#"
test,1518087420585655040,58243," "
test,1518087420586729984,58243,"27398:58243,30,156,-932828457,#"
test,1518087420587635968,58243," "
test,1518087420588396032,58243,"27398:58243,30,157,-932819380,#"
test,1518087420589059072,58243," "
test,1518087420589709056,58243,"43654:28417,28,0,8973149,#"
test,1518087420590547200,58243," "
test,1518087420591239936,58243,"43654:28417,28,3,8973410,#"
test,1518087420591876096,58243," "
test,1518087420592659968,58243,"27398:58243,28,6,-933618973,#"
test,1518087420593267968,58243," "
test,1518087420594018048,58243,"27398:58243,28,0,-933620017,#"
test,1518087420594958080,58243," "
test,1518087420595846912,58243,"46599:27398,30,156,-1258594752,#"
test,1518087420596731904,58243," "
test,1518087420597307904,58243,"46599:27398,30,157,-1258585675,#"
test,1518087420597990144,58243," "
test,1518087420598808064,58243,"46599:27398,28,3,-1259386051,#"
test,1518087420599657984,58243," "
test,1518087420600356096,58243,"46599:27398,28,6,-1259385268,#"
test,1518087420600922112,58243," "
test,1518087420601466880,58243,"46599:27398,28,0,-1259386312,#"
test,1518087420602050048,58243," "
test,1518087420602930944,58243,"22406:43654,28,3,-2087604931,#"
test,1518087420603801856,58243," "
test,1518087420604728832,58243,"22406:43654,30,153,-2086840515,#"
test,1518087420605330944,58243," "
test,1518087420606038016,58243,"22406:46599,28,8,1627538779,#"
test,1518087420606789120,58243," "
test,1518087420607700992,58243,"22406:43654,30,153,-2086840515,#"
test,1518087420608519168,58243," "
test,1518087420609436928,58243,"22406:43654,27,14,-2087638081,#"
test,1518087420610092032,58243," "
test,1518087420610696192,58243,"22406:51078,29,4,2071403485,#"
test,1518087420611414016,58243," "
test,1518087420671196928,58243,48007:2
test,1518087420673147904,58243,"59398:18,26,29,1238805,#"
test,1518087420921325056,58243," "
test,1518087420923479040,58243,"47235:59398,26,29,848024293,#"
test,1518087421173158912,58243," "
test,1518087421174753024,58243,"1103:1,27,177,1243309,#"
test,1518087421667378944,58243," "
test,1518087421669213952,58243,"51590:1,30,157,1173978,#"
test,1518087422294717952,58243," "
test,1518087422296422912,58243,"21767:0,30,157,1173821,#"
test,1518087424172712192,58243," "
test,1518087424174334976,58243,"27776:20,29,3,1670874,#"
test,1518087424673403136,58243," "
test,1518087424675685888,58243,"47235:3815,27,101,-1457145565,#"
test,1518087424750155008,58243,waiting...
test,1518087424799174912,58243," "
test,1518087424801799168,58243,"47235:58243,27,177,-932750049,#"
test,1518087424832678912,58243," "
test,1518087424835431936,58243,"47235:58243,30,157,-932819380,#"
test,1518087424961304832,58243," "
test,1518087424963700992,58243,"47235:58243,30,157,-932819380,#"
test,1518087426423944960,58243," "
test,1518087426426065920,58243,"47235:58243,29,3,-933578327,#"
test,1518087426543922944,58243," "
test,1518087426546305792,58243,"47235:58243,27,101,-933362761,#"
test,1518087426617393920,58243," "
test,1518087426619853056,58243,"47235:58243,27,177,-932750049,#"
test,1518087426747299072,58243," "
test,1518087426749795072,58243,"47235:58243,30,157,-932819380,#"
test,1518087426877553920,58243," "
test,1518087426880197888,58243,"47235:58243,30,157,-932819380,#"
test,1518087427423419904,58243," "
test,1518087427425551872,58243,"47235:1103,27,162,229095322,#"
test,1518087428173358080,58243," "
test,1518087428175057920,58243,"43398:17,28,44,1200669,#"
test,1518087428671042048,58243," "
test,1518087428673280000,58243,"47235:43398,28,44,919096200,#"
test,1518087428798276864,58243," "
