47695,a,0.54,0.32,0.8
47742,a,0.54,0.32,0.79
47789,a,0.54,0.32,0.79
47835,a,0.54,0.32,0.8
47882,a,0.54,0.32,0.8
47929,a,0.54,0.32,0.79
47976,a,0.54,0.33,0.8
48023,a,0.54,0.32,0.79
48070,a,0.54,0.32,0.79
48117,a,0.54,0.32,0.8
48164,a,0.54,0.32,0.79
48179,b,1006.58,,
48187,t,28.62,,
48187,l,87.6,,
48187,h,55.24,,
48226,a,0.54,0.32,0.79
48273,a,0.54,0.32,0.79
48320,a,0.55,0.33,0.79
48367,a,0.54,0.32,0.79
48414,a,0.54,0.32,0.79
48460,a,0.54,0.32,0.79
48507,a,0.54,0.32,0.79
48554,a,0.55,0.32,0.79
48601,a,0.54,0.32,0.79
48648,a,0.54,0.32,0.8
48679,b,1006.61,,
48695,a,0.54,0.32,0.79
48742,a,0.54,0.33,0.79
48789,a,0.54,0.32,0.79
48835,a,0.54,0.32,0.79
48882,a,0.54,0.33,0.8
48929,a,0.54,0.32,0.8
48976,a,0.54,0.33,0.78
49023,a,0.55,0.33,0.79
49070,a,0.54,0.33,0.79
49117,a,0.54,0.32,0.79
49164,a,0.54,0.32,0.8
49179,b,1006.53,,
49187,t,28.62,,
49187,l,88.24,,
49187,h,99.99,,
49226,a,0.54,0.32,0.79
49273,a,0.55,0.32,0.79
49320,a,0.55,0.32,0.79
49367,a,0.55,0.32,0.79
49414,a,0.54,0.33,0.79
49460,a,0.54,0.32,0.79
49507,a,0.54,0.33,0.79
49554,a,0.54,0.33,0.78
49601,a,0.55,0.32,0.8
49648,a,0.54,0.33,0.8
49679,b,1006.58,,
49695,a,0.54,0.32,0.79
49742,a,0.54,0.32,0.79
49789,a,0.54,0.33,0.79
49835,a,0.54,0.32,0.8
49882,a,0.54,0.32,0.79
49929,a,0.55,0.32,0.79
49976,a,0.55,0.32,0.79
50023,a,0.54,0.32,0.79
50070,a,0.54,0.33,0.79
50117,a,0.54,0.33,0.79
50164,a,0.54,0.33,0.79
50179,b,1006.58,,
50187,t,28.62,,
50187,l,87.92,,
50187,h,99.99,,
50226,a,0.55,0.32,0.79
50273,a,0.54,0.32,0.79
50320,a,0.55,0.32,0.79
50367,a,0.54,0.32,0.79
50414,a,0.54,0.32,0.78
50460,a,0.54,0.32,0.8
50507,a,0.53,0.33,0.78
50554,a,0.54,0.33,0.79
50601,a,0.54,0.32,0.79
50648,a,0.54,0.32,0.78
50679,b,1006.61,,
50695,a,0.55,0.31,0.79
50742,a,0.55,0.32,0.79
50789,a,0.54,0.32,0.79
50835,a,0.54,0.33,0.79
50882,a,0.55,0.33,0.8
50929,a,0.54,0.32,0.79
50976,a,0.54,0.32,0.79
51023,a,0.54,0.32,0.78
51070,a,0.55,0.33,0.79
51117,a,0.54,0.33,0.8
51164,a,0.54,0.32,0.79
51179,b,1006.55,,
51187,t,28.62,,
51187,l,86.96,,
51187,h,55.15,,
51226,a,0.54,0.33,0.79
51273,a,0.54,0.33,0.79
