time,x,y,z,b,t,l,h,label
51320,0.54,0.33,0.79,1006.55,28.62,86.96,55.15,0
51367,0.54,0.33,0.79,1006.55,28.62,86.96,55.15,0
51414,0.54,0.33,0.79,1006.55,28.62,86.96,55.15,0
51460,0.55,0.32,0.79,1006.55,28.62,86.96,55.15,0
51507,0.54,0.33,0.79,1006.55,28.62,86.96,55.15,0
51554,0.54,0.33,0.78,1006.55,28.62,86.96,55.15,0
51601,0.54,0.33,0.79,1006.55,28.62,86.96,55.15,0
51648,0.54,0.33,0.78,1006.55,28.62,86.96,55.15,0
51679,0.54,0.33,0.78,1006.58,28.62,86.96,55.15,0
51695,0.55,0.33,0.79,1006.58,28.62,86.96,55.15,0
51742,0.55,0.33,0.79,1006.58,28.62,86.96,55.15,0
51789,0.55,0.33,0.79,1006.58,28.62,86.96,55.15,0
51835,0.55,0.32,0.79,1006.58,28.62,86.96,55.15,0
51882,0.54,0.32,0.78,1006.58,28.62,86.96,55.15,0
51929,0.55,0.33,0.78,1006.58,28.62,86.96,55.15,0
51976,0.54,0.33,0.78,1006.58,28.62,86.96,55.15,0
52023,0.54,0.33,0.78,1006.58,28.62,86.96,55.15,0
52070,0.55,0.33,0.79,1006.58,28.62,86.96,55.15,0
52117,0.54,0.33,0.78,1006.58,28.62,86.96,55.15,0
52164,0.55,0.33,0.79,1006.58,28.62,86.96,55.15,0
52179,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52187,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52187,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52187,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52226,0.55,0.33,0.78,1006.66,28.62,86.96,55.15,0
52273,0.54,0.33,0.79,1006.66,28.62,86.96,55.15,0
52320,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52367,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
52414,0.55,0.33,0.77,1006.66,28.62,86.96,55.15,0
52460,0.55,0.33,0.78,1006.66,28.62,86.96,55.15,0
52507,0.55,0.33,0.79,1006.66,28.62,86.96,55.15,0
