[2018-03-20 13:52:12],10507,a,0.45,0.21,0.89,
[2018-03-20 13:52:12],10554,a,0.45,0.23,0.88,
[2018-03-20 13:52:12],10601,a,0.46,0.23,0.87,
[2018-03-20 13:52:13],10648,a,0.44,0.22,0.85,
[2018-03-20 13:52:13],10679,b,1006.80,
[2018-03-20 13:52:13],10695,a,0.46,0.21,0.89,
[2018-03-20 13:52:13],10742,a,0.44,0.20,0.90,
[2018-03-20 13:52:13],10789,a,0.42,0.21,0.89,
[2018-03-20 13:52:13],10835,a,0.43,0.21,0.91,
[2018-03-20 13:52:13],10882,a,0.42,0.19,0.93,
[2018-03-20 13:52:13],10929,a,0.42,0.18,0.91,
[2018-03-20 13:52:13],10976,a,0.43,0.15,0.92,
[2018-03-20 13:52:13],11023,a,0.41,0.15,0.91,
[2018-03-20 13:52:13],11070,a,0.38,0.16,0.90,
[2018-03-20 13:52:13],11117,a,0.39,0.19,0.87,
[2018-03-20 13:52:13],11164,a,0.42,0.20,0.89,
[2018-03-20 13:52:13],11179,b,1006.80,
[2018-03-20 13:52:13],11179,t,25.156,
[2018-03-20 13:52:13],11179,l,8.75,
[2018-03-20 13:52:13],11179,h,99.99,
[2018-03-20 13:52:13],11226,a,0.43,0.19,0.91,
[2018-03-20 13:52:13],11273,a,0.43,0.19,0.92,
[2018-03-20 13:52:13],11320,a,0.41,0.19,0.92,
[2018-03-20 13:52:13],11367,a,0.41,0.19,0.92,
[2018-03-20 13:52:13],11414,a,0.41,0.18,0.89,
[2018-03-20 13:52:13],11460,a,0.41,0.20,0.89,
[2018-03-20 13:52:13],11507,a,0.39,0.18,0.88,
[2018-03-20 13:52:13],11554,a,0.36,0.19,0.91,
[2018-03-20 13:52:13],11601,a,0.30,0.19,0.93,
[2018-03-20 13:52:14],11648,a,0.34,0.16,0.95,
[2018-03-20 13:52:14],11679,b,1006.82,
[2018-03-20 13:52:14],11695,a,0.37,0.14,0.93,
[2018-03-20 13:52:14],11742,a,0.37,0.11,0.94,
[2018-03-20 13:52:14],11789,a,0.34,0.10,0.93,
[2018-03-20 13:52:14],11835,a,0.36,0.10,0.97,
[2018-03-20 13:52:14],11882,a,0.33,0.08,0.97,
[2018-03-20 13:52:14],11929,a,0.34,0.05,0.95,
[2018-03-20 13:52:14],11976,a,0.36,0.04,0.97,
[2018-03-20 13:52:14],12023,a,0.33,0.00,0.94,
[2018-03-20 13:52:14],12070,a,0.34,-0.04,0.98,
[2018-03-20 13:52:14],12117,a,0.33,-0.04,0.95,
[2018-03-20 13:52:14],12164,a,0.32,0.00,0.91,
[2018-03-20 13:52:14],12179,b,1006.79,
[2018-03-20 13:52:14],12179,t,25.218,
[2018-03-20 13:52:14],12179,l,10.28,
[2018-03-20 13:52:14],12179,h,99.99,
[2018-03-20 13:52:14],12226,a,0.27,0.04,0.98,
[2018-03-20 13:52:14],12273,a,0.30,-0.02,0.98,
[2018-03-20 13:52:14],12320,a,0.29,-0.01,0.92,
[2018-03-20 13:52:14],12367,a,0.29,-0.02,0.87,
[2018-03-20 13:52:14],12414,a,0.31,0.00,1.00,
[2018-03-20 13:52:14],12460,a,0.39,-0.04,1.09,
[2018-03-20 13:52:14],12507,a,0.31,-0.03,1.00,
[2018-03-20 13:52:14],12554,a,0.28,-0.01,0.96,
[2018-03-20 13:52:14],12601,a,0.32,-0.01,0.90,
[2018-03-20 13:52:15],12648,a,0.28,0.00,0.97,
[2018-03-20 13:52:15],12679,b,1006.83,
[2018-03-20 13:52:15],12695,a,0.29,0.01,0.95,
[2018-03-20 13:52:15],12742,a,0.28,0.00,0.96,
[2018-03-20 13:52:15],12789,a,0.29,0.00,0.98,
[2018-03-20 13:52:15],12835,a,0.29,0.01,0.97,
[2018-03-20 13:52:15],12882,a,0.31,0.00,0.98,
[2018-03-20 13:52:15],12929,a,0.31,0.00,0.97,
[2018-03-20 13:52:15],12976,a,0.31,0.01,0.96,
[2018-03-20 13:52:15],13023,a,0.30,0.02,0.96,
[2018-03-20 13:52:15],13070,a,0.30,0.03,0.95,
[2018-03-20 13:52:15],13117,a,0.30,0.03,0.96,
[2018-03-20 13:52:15],13164,a,0.29,0.03,0.95,
[2018-03-20 13:52:15],13179,b,1006.78,
[2018-03-20 13:52:15],13179,t,25.250,
[2018-03-20 13:52:15],13179,l,9.7,
[2018-03-20 13:52:15],13179,h,99.99,
[2018-03-20 13:52:15],13226,a,0.32,0.02,0.97,
[2018-03-20 13:52:15],13273,a,0.30,0.01,0.96,
[2018-03-20 13:52:15],13320,a,0.29,0.03,0.96,
[2018-03-20 13:52:15],13367,a,0.28,0.02,0.95,
[2018-03-20 13:52:15],13414,a,0.34,0.05,0.98,
[2018-03-20 13:52:15],13460,a,0.39,0.09,0.96,
[2018-03-20 13:52:15],13507,a,0.37,0.11,0.96,
[2018-03-20 13:52:15],13554,a,0.32,0.01,0.99,
[2018-03-20 13:52:15],13601,a,0.25,-0.01,0.98,
[2018-03-20 13:52:16],13648,a,0.19,-0.06,0.94,
[2018-03-20 13:52:16],13679,b,1006.80,
[2018-03-20 13:52:16],13695,a,0.22,-0.02,0.95,
[2018-03-20 13:52:16],13742,a,0.32,-0.03,0.98,
[2018-03-20 13:52:16],13789,a,0.34,-0.02,0.98,
[2018-03-20 13:52:16],13835,a,0.29,0.02,0.98,
[2018-03-20 13:52:16],13882,a,0.28,0.05,0.96,
[2018-03-20 13:52:16],13929,a,0.30,0.06,0.97,
[2018-03-20 13:52:16],13976,a,0.25,0.07,0.83,
[2018-03-20 13:52:16],14023,a,0.37,0.07,1.26,
[2018-03-20 13:52:16],14070,a,0.26,-0.04,1.01,
[2018-03-20 13:52:16],14117,a,0.20,-0.06,1.10,
[2018-03-20 13:52:16],14164,a,0.20,-0.01,0.76,
[2018-03-20 13:52:16],14179,b,1006.80,
[2018-03-20 13:52:16],14179,t,25.312,
[2018-03-20 13:52:16],14179,l,9.39,
[2018-03-20 13:52:16],14179,h,99.99,
[2018-03-20 13:52:16],14226,a,0.25,0.08,0.76,
[2018-03-20 13:52:16],14273,a,0.63,0.03,1.31,
[2018-03-20 13:52:16],14320,a,0.31,0.00,0.99,
[2018-03-20 13:52:16],14367,a,0.27,-0.06,0.93,
[2018-03-20 13:52:16],14414,a,0.41,-0.07,0.97,
[2018-03-20 13:52:16],14460,a,0.32,-0.03,0.95,
[2018-03-20 13:52:16],14507,a,0.26,0.00,0.90,
[2018-03-20 13:52:16],14554,a,0.33,0.08,0.96,
[2018-03-20 13:52:16],14601,a,0.37,0.16,0.97,
[2018-03-20 13:52:17],14648,a,0.38,0.19,0.91,
[2018-03-20 13:52:17],14679,b,1006.82,
[2018-03-20 13:52:17],14695,a,0.39,0.23,0.88,
[2018-03-20 13:52:17],14742,a,0.43,0.23,0.87,
[2018-03-20 13:52:17],14789,a,0.42,0.24,0.82,
[2018-03-20 13:52:17],14835,a,0.45,0.24,0.90,
[2018-03-20 13:52:17],14882,a,0.47,0.23,0.89,
[2018-03-20 13:52:17],14929,a,0.46,0.23,0.89,
[2018-03-20 13:52:17],14976,a,0.53,0.19,0.89,
[2018-03-20 13:52:17],15023,a,0.47,0.18,0.81,
[2018-03-20 13:52:17],15070,a,0.49,0.18,0.76,
[2018-03-20 13:52:17],15117,a,0.52,0.23,0.65,
[2018-03-20 13:52:17],15164,a,0.60,0.32,0.64,
[2018-03-20 13:52:17],15179,b,1006.84,
[2018-03-20 13:52:17],15179,t,25.375,
[2018-03-20 13:52:17],15179,l,8.91,
[2018-03-20 13:52:17],15179,h,99.99,
[2018-03-20 13:52:17],15226,a,0.60,0.35,0.90,
[2018-03-20 13:52:17],15273,a,0.67,0.45,0.64,
